"Week
#","Start
Time","End
Time","Duration
Text",List,List ID,Task,Task ID,Department,Priority,Section,"Task
Category","Task
Type"
W01,7:28:19 AM,7:45:31 AM,0:17:12,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,7:45:36 AM,7:53:24 AM,0:07:48,🌈 Personal,901301650324,🛒 Create a grocery list,86a699c00,9.11. Quality of life,📌 Life Must,9.11.4. Do house chores,,
W01,7:53:35 AM,8:01:21 AM,0:07:46,🌈 Personal,901301650324,🗃️ Organize food,86a5r673p,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,8:01:21 AM,8:06:35 AM,0:05:14,🌼 Survival Mode,901306296518,🪥 Brush teeth,86a64942j,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,8:06:35 AM,8:12:58 AM,0:06:23,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ VA,86a6fm2mm,6. Build the team,📌 Job Must,6.2. VA,🙂 👌 Work,Manager
W01,8:12:58 AM,8:14:35 AM,0:01:37,👩🏻‍💻 In Business,901301162602,🏠 Pull prospects_Probate,,4. Do deals,📌 Job Must,4.1. Generate prospects,☹️ 👌 Obligation,Work
W01,8:14:35 AM,8:19:53 AM,0:05:18,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ VA,86a6fm2mm,6. Build the team,📌 Job Must,6.2. VA,🙂 👌 Work,Manager
W01,8:19:53 AM,8:26:05 AM,0:06:12,👩🏻‍💻 In Business,901301162602,📋 Import prospects to Invelo,86a45jucq,4. Do deals,📌 Job Must,4.1. Generate prospects,☹️ 👌 Obligation,Work
W01,8:26:04 AM,8:29:28 AM,0:03:24,🌈 Personal,901301650324,🛒 Create a grocery list,86a699c00,9.11. Quality of life,📌 Life Must,9.11.4. Do house chores,,
W01,8:29:28 AM,8:35:18 AM,0:05:50,👩🏻‍💻 In Business,901301162602,📋 Import prospects to Invelo,86a45jucq,4. Do deals,📌 Job Must,4.1. Generate prospects,☹️ 👌 Obligation,Work
W01,8:35:18 AM,8:41:21 AM,0:06:03,🚀 On Business,900601952633,⏰ Analyze time usage,86a64a75x,2. Gain traction,📌 Job Must,2.6. Manage time,🙂 👌 Work,Manager
W01,8:41:21 AM,8:43:11 AM,0:01:50,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,8:43:11 AM,8:49:24 AM,0:06:13,🚀 On Business,900601952633,⏰ Analyze time usage,86a64a75x,2. Gain traction,📌 Job Must,2.6. Manage time,🙂 👌 Work,Manager
W01,8:49:24 AM,11:31:01 AM,2:41:37,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,11:31:13 AM,12:07:49 PM,0:36:36,🌈 Personal,901301650324,🗃️ Organize food,86a5r673p,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,12:08:01 PM,12:21:31 PM,0:13:30,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,12:21:41 PM,12:21:44 PM,0:00:03,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,12:21:50 PM,12:29:07 PM,0:07:17,🌈 Personal,901301650324,✏️ Plan for dad's activities,86a2d1k37,9.07. Dad,📌 Must_Life,9.07.4. Take dad to places,,
W01,12:29:18 PM,12:43:13 PM,0:13:55,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,12:43:25 PM,12:56:54 PM,0:13:29,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,12:57:09 PM,1:23:26 PM,0:26:17,🌼 Survival Mode,901306296518,💤 Nap,86a2gxhgk,9.01. Health & fitness,🌱 Routine,9.01.1. Sleep well,,
W01,1:23:57 PM,5:00:56 PM,3:36:59,🌈 Personal,901301650324,🤡 Take dad to places,86a6804rr,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,5:00:00 PM,5:52:00 PM,0:52:00,🌈 Personal,901301650324,🛒 Do grocery shopping,86a2fkvvg,9.11. Quality of life,📌 Life Must,9.11.4. Do house chores,,
W01,5:53:16 PM,6:08:20 PM,0:15:04,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,6:08:20 PM,6:21:47 PM,0:13:27,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,6:21:47 PM,6:50:39 PM,0:28:52,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,6:50:39 PM,6:59:48 PM,0:09:09,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,6:59:48 PM,7:09:00 PM,0:09:12,🌈 Personal,901301650324,📺 Watch TV/movie with dad,,9.07. Dad,📌 Must_Life,9.07.5. Watch a movie/TV,,
W01,7:09:00 PM,7:15:40 PM,0:06:40,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,7:15:44 PM,11:59:44 PM,4:44:00,🌼 Survival Mode,901306296518,🛏️ Sleep,86a647u0q,9.01. Health & fitness,🌱 Routine,9.01.1. Sleep well,,
W01,12:00:00 AM,5:39:00 AM,5:39:00,🌼 Survival Mode,901306296518,🛏️ Sleep,86a647u0q,9.01. Health & fitness,🌱 Routine,9.01.1. Sleep well,,
W01,5:39:00 AM,5:49:00 AM,0:10:00,🌼 Survival Mode,901306296518,💩 Poop,86a5mn4v6,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,5:49:27 AM,5:50:28 AM,0:01:01,🌈 Personal,901301650324,⚖️ Weigh myself,86a5q5pxt,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,5:50:34 AM,5:54:47 AM,0:04:13,🌼 Survival Mode,901306296518,🪣 Soak butt,86a9d32yr,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,5:54:53 AM,5:58:38 AM,0:03:45,🌼 Survival Mode,901306296518,👗 Put on clothes,86a64a6vp,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,5:58:38 AM,5:58:55 AM,0:00:17,🚀 On Business,900601952633,✅ Manage tasks,,2. Gain traction,📌 Job Must,2.5. Manage tasks,🙂 👌 Work,Owner
W01,5:58:55 AM,6:00:45 AM,0:01:50,🚀 On Business,900601952633,✅ Manage time tracked,86a68njak,2. Gain traction,📌 Job Must,2.6. Manage time,🙂 👌 Work,Owner
W01,6:00:45 AM,6:02:24 AM,0:01:39,🌈 Personal,901301650324,💯 Update daily KPIs,86a2hpd34,9.04. Character,🌱 Routine,9.04. Consistency,,
W01,6:02:24 AM,6:05:47 AM,0:03:23,👩🏻‍💻 In Business,901301162602,🗃️ Work on bookkeeping,86a2fy00y,7. Fulfill fin and legal obligations,📌 Job Must,7.2. Handle bookkeeping,☹️ 👎 Incompetence,Admin
W01,6:05:47 AM,6:07:09 AM,0:01:22,👩🏻‍💻 In Business,901301162602,📋 Import prospects to Invelo,86a45jucq,4. Do deals,📌 Job Must,4.1. Generate prospects,☹️ 👌 Obligation,Work
W01,6:07:09 AM,6:08:49 AM,0:01:40,👩🏻‍💻 In Business,901301162602,🕵🏻 Skip trace prospects,86a83c16d,4. Do deals,📌 Job Must,4.3. Market to prospects,🙂 👌 Work,Work
W01,6:08:49 AM,6:13:28 AM,0:04:39,🌼 Survival Mode,901306296518,🪥 Brush teeth,86a64942j,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,6:13:28 AM,6:18:15 AM,0:04:47,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,6:18:14 AM,6:44:38 AM,0:26:24,👩🏻‍💻 In Business,901301162602,🔨 Sort out Invelo,86a2f0f8z,5. Build processes,📌 Job Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,6:44:38 AM,6:48:43 AM,0:04:05,🚀 On Business,900601952633,✏️ Plan for things,86a27xgca,2. Gain traction,📌 Job Must,"2.1. Plan (Y, Q, M, W, D)",🙂 👌 Work,Owner
W01,6:48:43 AM,6:51:41 AM,0:02:58,👩🏻‍💻 In Business,901301162602,🔨 Learn ClickUp,,5. Build processes,📌 Life Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,6:51:40 AM,7:04:31 AM,0:12:51,👩🏻‍💻 In Business,901301162602,🔨 Sort out Invelo,86a2f0f8z,5. Build processes,📌 Job Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,7:04:31 AM,7:11:38 AM,0:07:07,🌈 Personal,901301650324,🩺 Measure blood pressure,,,🌱 Routine,,,
W01,7:11:38 AM,7:25:59 AM,0:14:21,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,7:25:59 AM,7:28:21 AM,0:02:22,🌈 Personal,901301650324,🗃️ Organize stuff,86a5r4zkp,9.11. Quality of life,📌 Life Must,9.11.2. Organize stuff,,
W01,7:28:21 AM,7:39:37 AM,0:11:16,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,7:39:37 AM,7:41:56 AM,0:02:19,🌈 Personal,901301650324,🩺 Measure blood pressure,,,🌱 Routine,,,
W01,7:41:56 AM,7:46:40 AM,0:04:44,🌼 Survival Mode,901306296518,🪥 Brush teeth,86a64942j,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,7:46:40 AM,7:47:03 AM,0:00:23,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ RX,86a742axt,6. Build the team,📌 Job Must,6.6. Investor,🙂 👌 Work,Work
W01,7:47:03 AM,8:17:28 AM,0:30:25,👩🏻‍💻 In Business,901301162602,🔨 Sort out Invelo,86a2f0f8z,5. Build processes,📌 Job Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,8:17:28 AM,8:22:48 AM,0:05:20,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,8:22:48 AM,8:27:04 AM,0:04:16,🚀 On Business,900601952633,✅ Manage tasks,,2. Gain traction,📌 Job Must,2.5. Manage tasks,🙂 👌 Work,Owner
W01,8:27:04 AM,8:48:05 AM,0:21:01,👩🏻‍💻 In Business,901301162602,🔨 Sort out Invelo,86a2f0f8z,5. Build processes,📌 Job Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,8:48:05 AM,8:50:26 AM,0:02:21,🚀 On Business,900601952633,🤖 Automate tasks,86a5h21yb,5. Build processes,📌 Job Must,5.7. Automate tasks,🙂 👌 Work,Owner
W01,8:50:26 AM,8:54:17 AM,0:03:51,👩🏻‍💻 In Business,901301162602,🔨 Sort out Invelo,86a2f0f8z,5. Build processes,📌 Job Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,8:54:17 AM,9:00:26 AM,0:06:09,👩🏻‍💻 In Business,901301162602,🔨 Set up Invelo,86a69zecj,5. Build processes,📌 Job Must,5.3. Set up softwares,🙂 👌 Work,Manager
W01,9:00:26 AM,9:30:17 AM,0:29:51,🚀 On Business,900601952633,👩🏻‍💻 Work w/ cold caller,86acppde9,6. Build the team,📌 Job Must,6.7 Cold caller,🙂 👌 Work,Manager
W01,9:30:17 AM,9:33:58 AM,0:03:41,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,9:33:58 AM,9:34:52 AM,0:00:54,🚀 On Business,900601952633,🤖 Automate tasks,86a5h21yb,5. Build processes,📌 Job Must,5.7. Automate tasks,🙂 👌 Work,Owner
W01,9:34:52 AM,9:42:15 AM,0:07:23,👩🏻‍💻 In Business,901301162602,💬 Send SMS,86a51g8r7,4. Do deals,📌 Job Must,4.3. Market to prospects,☹️ 👌 Obligation,Work
W01,9:42:15 AM,9:42:16 AM,0:00:01,👩🏻‍💻 In Business,901301162602,🛟 Contact support_QBO,86a71dykj,7. Fulfill fin and legal obligations,📌 Job Must,7.5. Manage other things,🙂 👌 Work,Admin
W01,10:32:47 AM,10:32:52 AM,0:00:05,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,10:32:52 AM,10:46:38 AM,0:13:46,👩🏻‍💻 In Business,901301162602,🖥 Zoom w/ Rashel,86adxp45d,6. Build the team,📌 Job Must,6.5. Vendor_Work,🙂 👌 Work,Manager
W01,10:46:38 AM,10:56:10 AM,0:09:32,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,10:56:10 AM,10:57:32 AM,0:01:22,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,10:57:32 AM,11:10:36 AM,0:13:04,🚀 On Business,900601952633,🤖 Automate tasks,86a5h21yb,5. Build processes,📌 Job Must,5.7. Automate tasks,🙂 👌 Work,Owner
W01,11:10:35 AM,11:16:47 AM,0:06:12,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ 4BBH,86a6470ph,6. Build the team,📌 Job Must,6.3. Wholesaler,🙂 👌 Work,Manager
W01,11:16:46 AM,11:19:37 AM,0:02:51,👩🏻‍💻 In Business,901301162602,🛟 Contact support_smrtPhone,86a267vpv,5. Build processes,📌 Job Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,11:19:37 AM,11:25:13 AM,0:05:36,🌈 Personal,901301650324,🩺 Annual checkup_Primary Doctor,,9.01. Health & fitness,📌 Life Must,9.01.5. Have an annual checkup,,
W01,11:25:12 AM,11:41:23 AM,0:16:11,🚀 On Business,900601952633,✅ Manage tasks,,2. Gain traction,📌 Job Must,2.5. Manage tasks,🙂 👌 Work,Owner
W01,11:41:23 AM,11:45:49 AM,0:04:26,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,11:45:49 AM,12:01:09 PM,0:15:20,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,12:01:21 PM,12:12:57 PM,0:11:36,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,12:13:04 PM,12:34:24 PM,0:21:20,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,12:34:37 PM,1:06:48 PM,0:32:11,🌼 Survival Mode,901306296518,💤 Nap,86a2gxhgk,9.01. Health & fitness,🌱 Routine,9.01.1. Sleep well,,
W01,1:06:47 PM,1:11:05 PM,0:04:18,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ RX,86a742axt,6. Build the team,📌 Job Must,6.6. Investor,🙂 👌 Work,Work
W01,1:11:05 PM,1:17:12 PM,0:06:07,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ 4BBH,86a6470ph,6. Build the team,📌 Job Must,6.3. Wholesaler,🙂 👌 Work,Manager
W01,1:17:12 PM,1:20:44 PM,0:03:32,🚀 On Business,900601952633,👩🏻‍💻 Work w/ cold caller,86acppde9,6. Build the team,📌 Job Must,6.7 Cold caller,🙂 👌 Work,Manager
W01,1:20:44 PM,1:50:12 PM,0:29:28,👩🏻‍💻 In Business,901301162602,🛟 Contact support_QBO,86a71dykj,7. Fulfill fin and legal obligations,📌 Job Must,7.5. Manage other things,🙂 👌 Work,Admin
W01,1:50:11 PM,2:02:22 PM,0:12:11,👩🏻‍💻 In Business,901301162602,🔨 Set up Invelo,86a69zecj,5. Build processes,📌 Job Must,5.3. Set up softwares,🙂 👌 Work,Manager
W01,2:02:22 PM,2:06:31 PM,0:04:09,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,2:06:31 PM,3:13:29 PM,1:06:58,👩🏻‍💻 In Business,901301162602,🔨 Sort out Invelo,86a2f0f8z,5. Build processes,📌 Job Must,5.2. Learn and troubleshoot softwares,🙂 👌 Work,Work
W01,3:13:29 PM,3:17:35 PM,0:04:06,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,3:17:35 PM,3:19:42 PM,0:02:07,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,3:19:41 PM,3:39:37 PM,0:19:56,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,3:39:36 PM,4:06:28 PM,0:26:52,👩🏻‍💻 In Business,901301162602,🕵🏻 Skip trace prospects,86a83c16d,4. Do deals,📌 Job Must,4.3. Market to prospects,🙂 👌 Work,Work
W01,4:06:28 PM,4:11:01 PM,0:04:33,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,4:11:00 PM,4:22:42 PM,0:11:42,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,4:22:42 PM,4:24:27 PM,0:01:45,🌼 Survival Mode,901306296518,🚿 Shower,86a2hacmc,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,4:24:28 PM,4:32:16 PM,0:07:48,🌼 Survival Mode,901306296518,💩 Poop,86a5mn4v6,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,4:32:27 PM,4:48:41 PM,0:16:14,🌼 Survival Mode,901306296518,🚿 Shower,86a2hacmc,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,4:48:48 PM,4:53:07 PM,0:04:19,🌼 Survival Mode,901306296518,🪥 Brush teeth,86a64942j,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,4:53:07 PM,4:54:24 PM,0:01:17,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ RX,86a742axt,6. Build the team,📌 Job Must,6.6. Investor,🙂 👌 Work,Work
W01,4:54:24 PM,4:57:46 PM,0:03:22,🌈 Personal,901301650324,🧾 Manage financials_Personal,86a5naynx,9.09. Financial,📌 Life Must,9.09.1. Manage money,,
W01,4:57:46 PM,5:46:03 PM,0:48:17,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,5:46:03 PM,5:59:33 PM,0:13:30,🌈 Personal,901301650324,🗣️ Talk to neighbor,,9.08. Social,📌 Must_Life,9.08.2. Stay in touch w/ family and friends,,
W01,5:59:32 PM,8:25:24 PM,2:25:52,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,8:25:24 PM,8:32:24 PM,0:07:00,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,8:32:29 PM,9:18:19 PM,0:45:50,🌈 Personal,901301650324,🗣️ Talk to Matt,86a654xch,9.06. Love,🌱 Routine_Personal,9.06. Love,,
W01,9:18:00 PM,11:59:00 PM,2:41:00,🌼 Survival Mode,901306296518,🛏️ Sleep,86a647u0q,9.01. Health & fitness,🌱 Routine,9.01.1. Sleep well,,
W01,12:00:00 AM,5:30:00 AM,5:30:00,🌼 Survival Mode,901306296518,🛏️ Sleep,86a647u0q,9.01. Health & fitness,🌱 Routine,9.01.1. Sleep well,,
W01,5:30:44 AM,5:39:20 AM,0:08:36,🌼 Survival Mode,901306296518,💩 Poop,86a5mn4v6,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,5:39:29 AM,5:43:51 AM,0:04:22,🌼 Survival Mode,901306296518,🪣 Soak butt,86a9d32yr,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,5:43:58 AM,5:48:30 AM,0:04:32,🌈 Personal,901301650324,⚖️ Weigh myself,86a5q5pxt,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,5:48:30 AM,5:51:53 AM,0:03:23,🌈 Personal,901301650324,💯 Update daily KPIs,86a2hpd34,9.04. Character,🌱 Routine,9.04. Consistency,,
W01,5:51:53 AM,6:44:54 AM,0:53:01,🚀 On Business,900601952633,👩🏻‍🎓 Attend webinar_REISift,,6. Build the team,📌 Job Must,6.1. Self,😀 👍 Magic,Owner
W01,6:44:54 AM,6:59:30 AM,0:14:36,👩🏻‍💻 In Business,901301162602,🛟 Contact support_Invelo,86a2591gg,5. Build processes,📌 Life Must,5.2. Learn and troubleshoot softwares,☹️ 👌 Obligation,Work
W01,6:59:30 AM,6:59:35 AM,0:00:05,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,6:59:34 AM,7:11:05 AM,0:11:31,🌈 Personal,901301650324,🩺 Measure blood pressure,,,🌱 Routine,,,
W01,7:11:05 AM,7:26:26 AM,0:15:21,🌼 Survival Mode,901306296518,🍔 Eat,86a5m77df,9.01. Health & fitness,🌱 Routine,9.01.2. Eat healthy food,,
W01,7:26:46 AM,7:48:45 AM,0:21:59,🌈 Personal,901301650324,🧼 Do dishes,86a71bmpz,9.11. Quality of life,🌱 Routine,9.11.3. Clean up stuff,,
W01,7:48:45 AM,7:54:30 AM,0:05:45,🌼 Survival Mode,901306296518,🪥 Brush teeth,86a64942j,9.01. Health & fitness,🌱 Routine,9.01.4. Have a regular routine,,
W01,7:54:30 AM,7:56:57 AM,0:02:27,👩🏻‍💻 In Business,901301162602,📋 Import prospects to Invelo,86a45jucq,4. Do deals,📌 Job Must,4.1. Generate prospects,☹️ 👌 Obligation,Work
W01,7:56:57 AM,8:05:21 AM,0:08:24,🌈 Personal,901301650324,🧾 Manage financials_Personal,86a5naynx,9.09. Financial,📌 Life Must,9.09.1. Manage money,,
W01,8:05:21 AM,8:11:07 AM,0:05:46,👩🏻‍💻 In Business,901301162602,📋 Import prospects to Invelo,86a45jucq,4. Do deals,📌 Job Must,4.1. Generate prospects,☹️ 👌 Obligation,Work
W01,8:11:07 AM,8:12:17 AM,0:01:10,🌈 Personal,901301650324,🛍️ Buy stuff,86a2ajf11,9.11. Quality of life,📌 Life Must,9.11.1. Manage stuff,,
W01,8:12:17 AM,8:33:01 AM,0:20:44,👩🏻‍💻 In Business,901301162602,📋 Import prospects to Invelo,86a45jucq,4. Do deals,📌 Job Must,4.1. Generate prospects,☹️ 👌 Obligation,Work
W01,8:33:01 AM,8:38:54 AM,0:05:53,👩🏻‍💻 In Business,901301162602,🕵🏻 Skip trace prospects,86a83c16d,4. Do deals,📌 Job Must,4.3. Market to prospects,🙂 👌 Work,Work
W01,8:38:54 AM,8:42:54 AM,0:04:00,👩🏻‍💻 In Business,901301162602,💬 Send SMS,86a51g8r7,4. Do deals,📌 Job Must,4.3. Market to prospects,☹️ 👌 Obligation,Work
W01,8:42:54 AM,8:46:00 AM,0:03:06,👩🏻‍💻 In Business,901301162602,🔨 Set up Invelo,86a69zecj,5. Build processes,📌 Job Must,5.3. Set up softwares,🙂 👌 Work,Manager
W01,8:46:00 AM,8:46:30 AM,0:00:30,👩🏻‍💻 In Business,901301162602,🕵🏻 Skip trace prospects,86a83c16d,4. Do deals,📌 Job Must,4.3. Market to prospects,🙂 👌 Work,Work
W01,8:46:29 AM,8:48:13 AM,0:01:44,👩🏻‍💻 In Business,901301162602,💬 Send SMS,86a51g8r7,4. Do deals,📌 Job Must,4.3. Market to prospects,☹️ 👌 Obligation,Work
W01,8:48:13 AM,8:49:31 AM,0:01:18,🌈 Personal,901301650324,🏖️ Take a break,86a9tae9b,9.01. Health & fitness,🌱 Routine_Personal,9.01.4. Have a regular routine,,
W01,8:49:31 AM,9:02:15 AM,0:12:44,👩🏻‍💻 In Business,901301162602,👩🏻‍💻 Work w/ RX,86a742axt,6. Build the team,📌 Job Must,6.6. Investor,🙂 👌 Work,Work
